
=== BRASIL CONSOLIDADO - GERAL ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
COMANDO DA MARINHA;228;6.89%
ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;204;6.17%
MINISTERIO PUBLICO DA UNIAO;158;4.78%
MUNICIPIO DE JUIZ DE FORA;71;2.15%
DEFENSORIA PUBLICA DA UNIAO;51;1.54%
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MEDICO;36;1.09%
MUNICIPIO DE UBERLANDIA;36;1.09%
MUNICIPIO DE BELO HORIZONTE;26;0.79%
Outros (173 itens);425;12.85%
Sigiloso;192;5.81%
TOTAL GERAL;3307;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;1314;39.73%
ESTADO OU DISTRITO FEDERAL;802;24.25%
MUNICIPIO;294;8.89%
ORGAO PUBLICO AUTONOMO FEDERAL;209;6.32%
ORGAO PUBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL;204;6.17%
COOPERATIVA;100;3.02%
SOCIEDADE EMPRESARIA LIMITADA;31;0.94%
AUTARQUIA FEDERAL;28;0.85%
ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL;25;0.76%
ND;23;0.70%
Outros (11 itens);85;2.57%
Sigiloso;192;5.81%
TOTAL GERAL;3307;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ADVOCACIA GERAL DA UNIAO;3687;31.00%
ESTADO DE MINAS GERAIS;3380;28.42%
MUNICIPIO DE UBERLANDIA;813;6.83%
COMANDO DA MARINHA;365;3.07%
MINISTERIO DA FAZENDA;255;2.14%
MUNICIPIO DE JUIZ DE FORA;255;2.14%
MUNICIPIO DE BELO HORIZONTE;221;1.86%
MUNICIPIO DE MONTES CLAROS;181;1.52%
SECRETARIA DE ESTADO DA CASA CIVIL - SECC;160;1.35%
ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS;149;1.25%
Outros (433 itens);2237;18.81%
Sigiloso;192;1.61%
TOTAL GERAL;11895;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;4342;36.50%
ESTADO OU DISTRITO FEDERAL;3380;28.42%
MUNICIPIO;2839;23.87%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;417;3.51%
AUTARQUIA FEDERAL;201;1.69%
ORGAO PUBLICO DO PODER LEGISLATIVO ESTADUAL OU DO DISTRITO FEDERAL;149;1.25%
ORGAO PUBLICO AUTONOMO FEDERAL;134;1.13%
EMPRESA PUBLICA;58;0.49%
ORGAO PUBLICO DO PODER LEGISLATIVO MUNICIPAL;35;0.29%
ND;34;0.29%
Outros (16 itens);114;0.96%
Sigiloso;192;1.61%
TOTAL GERAL;11895;100.00%




=== BRASIL CONSOLIDADO - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12495;42637;10.20%
12494;39198;9.38%
12484;34744;8.31%
12503;31477;7.53%
12500;25869;6.19%
12496;21862;5.23%
12506;17485;4.18%
12487;16281;3.90%
10671;14173;3.39%
12416;13732;3.29%
Outros (883 itens);160464;38.40%
TOTAL GERAL;417922;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
DEFENSORIA PUBLICA DO ESTADO DO RIO DE JANEIRO-DPE;7203;10.86%
ADVOCACIA GERAL DA UNIAO;4141;6.25%
GOIAS MP PROCURADORIA GERAL DE JUSTICA;3261;4.92%
MINISTERIO PUBLICO - MPMG;2679;4.04%
DEFENSORIA PUBLICA DA UNIAO;2527;3.81%
PARA MINISTERIO PUBLICO;2286;3.45%
ESTADO DE MINAS GERAIS;2104;3.17%
MINISTERIO PUBLICO DO ESTADO DO PARANA;1993;3.01%
PROCURADORIA GERAL DE JUSTICA DO ESTADO DE MATO GROSSO;1682;2.54%
MINISTERIO PUBLICO DO ESTADO DA BAHIA;1456;2.20%
Outros (4754 itens);36976;55.76%
TOTAL GERAL;66308;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;16618;25.06%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;10987;16.57%
ESTADO OU DISTRITO FEDERAL;8847;13.34%
MUNICIPIO;5925;8.94%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;5745;8.66%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;5479;8.26%
ND;5161;7.78%
ORGAO PUBLICO AUTONOMO FEDERAL;2820;4.25%
ASSOCIACAO PRIVADA;1250;1.89%
SOCIEDADE EMPRESARIA LIMITADA;1076;1.62%
Outros (33 itens);2400;3.62%
TOTAL GERAL;66308;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DO RIO GRANDE DO SUL;47989;8.56%
ADVOCACIA GERAL DA UNIAO;39338;7.02%
ESTADO DE SAO PAULO;22718;4.05%
ESTADO DE MINAS GERAIS;21664;3.86%
ESTADO DO RIO DE JANEIRO;18597;3.32%
ESTADO DE SANTA CATARINA;14118;2.52%
ESTADO DE MATO GROSSO;13527;2.41%
ESTADO DE MATO GROSSO DO SUL;13303;2.37%
ESTADO DA BAHIA;11858;2.11%
ESTADO DO PARANA;9333;1.66%
Outros (8539 itens);348287;62.11%
TOTAL GERAL;560732;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;238813;42.59%
MUNICIPIO;176662;31.51%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;59853;10.67%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;35698;6.37%
ND;14356;2.56%
ASSOCIACAO PRIVADA;8286;1.48%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;6506;1.16%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;4593;0.82%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;2509;0.45%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;2097;0.37%
Outros (41 itens);11359;2.03%
TOTAL GERAL;560732;100.00%




=== REGIONAL CO_TJDFT_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12500;2029;20.69%
12506;1781;18.16%
12495;834;8.50%
12502;707;7.21%
12496;586;5.98%
12503;499;5.09%
12494;430;4.39%
12504;390;3.98%
12508;350;3.57%
12491;303;3.09%
Outros (86 itens);1897;19.35%
TOTAL GERAL;9806;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
DISTRITO FEDERAL;140;53.23%
DEFENSORIA PUBLICA DO DISTRITO FEDERAL;60;22.81%
INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO DISTRITO FEDERAL;23;8.75%
MINISTERIO PUBLICO DA UNIAO;13;4.94%
ESTADO DE GOIAS;8;3.04%
FUNDO DE APARELHAMENTO DA DEFENSORIA PUBLICA DO DF - PRODEF;3;1.14%
HOSPITAL PRONTONORTE S/A;2;0.76%
AMIL ASSISTENCIA MEDICA INTERNACIONAL S.A.;2;0.76%
POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS;1;0.38%
SUL AMERICA COMPANHIA DE SEGURO SAUDE;1;0.38%
Outros (10 itens);10;3.80%
TOTAL GERAL;263;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;148;56.27%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;60;22.81%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;23;8.75%
ORGAO PUBLICO AUTONOMO FEDERAL;13;4.94%
SOCIEDADE ANONIMA FECHADA;6;2.28%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;4;1.52%
SOCIEDADE EMPRESARIA LIMITADA;4;1.52%
ENTIDADE SINDICAL;2;0.76%
ASSOCIACAO PRIVADA;1;0.38%
SERVICO SOCIAL AUTONOMO;1;0.38%
Outros (1 itens);1;0.38%
TOTAL GERAL;263;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
DISTRITO FEDERAL;8482;94.24%
INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO DISTRITO FEDERAL;185;2.06%
DISTRITO FEDERAL SECRETARIA DE SAUDE;68;0.76%
ESTADO DE GOIAS;67;0.74%
INSTITUTO DE GESTAO ESTRATEGICA DE SAUDE DO DISTRITO FEDERAL - IGESDF;17;0.19%
PROCURADORIA GERAL DO DISTRITO FEDERAL;16;0.18%
MUNICIPIO DE LUZIANIA;13;0.14%
MUNICIPIO DE AGUAS LINDAS DE GOIAS;11;0.12%
MUNICIPIO DE VALPARAISO DE GOIAS;10;0.11%
MUNICIPIO DE PLANALTINA;9;0.10%
Outros (60 itens);122;1.36%
TOTAL GERAL;9000;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;8555;95.06%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;185;2.06%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;107;1.19%
MUNICIPIO;76;0.84%
SERVICO SOCIAL AUTONOMO;17;0.19%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;14;0.16%
SOCIEDADE ANONIMA FECHADA;14;0.16%
SOCIEDADE EMPRESARIA LIMITADA;10;0.11%
ORGAO PUBLICO AUTONOMO FEDERAL;7;0.08%
ASSOCIACAO PRIVADA;4;0.04%
Outros (6 itens);11;0.12%
TOTAL GERAL;9000;100.00%




=== REGIONAL CO_TJGO_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12506;2246;16.20%
12503;1877;13.54%
12494;1649;11.89%
12495;1463;10.55%
12505;1428;10.30%
12500;775;5.59%
12496;754;5.44%
12489;574;4.14%
12487;388;2.80%
12508;322;2.32%
Outros (98 itens);2390;17.24%
TOTAL GERAL;13866;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
GOIAS MP PROCURADORIA GERAL DE JUSTICA;3258;82.04%
DEFENSORIA PUBLICA DO ESTADO DE GOIAS;454;11.43%
ESTADO DE GOIAS;48;1.21%
MUNICIPIO DE GOIANIA;21;0.53%
MUNICIPIO DE GOIATUBA;13;0.33%
INSTITUTO DE ASSISTENCIA DOS SERVIDORES PUBLICOS DO ESTADO DE GOIAS - IPASGO;12;0.30%
MINISTERIO PUBLICO DE CONTAS DO ESTADO DE GOIAS;9;0.23%
MUNICIPIO DE ANAPOLIS;8;0.20%
MUNICIPIO DE SENADOR CANEDO;8;0.20%
MUNICIPIO DE MINEIROS;8;0.20%
Outros (78 itens);132;3.32%
TOTAL GERAL;3971;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;3715;93.55%
MUNICIPIO;97;2.44%
ESTADO OU DISTRITO FEDERAL;48;1.21%
ND;19;0.48%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;19;0.48%
SOCIEDADE EMPRESARIA LIMITADA;18;0.45%
ASSOCIACAO PRIVADA;10;0.25%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;9;0.23%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA MUNICIPAL;6;0.15%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;6;0.15%
Outros (13 itens);24;0.60%
TOTAL GERAL;3971;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE GOIAS;5879;32.97%
MUNICIPIO DE GOIANIA;3066;17.19%
SECRETARIA DE ESTADO DA SAUDE;2677;15.01%
INSTITUTO DE ASSISTENCIA DOS SERVIDORES PUBLICOS DO ESTADO DE GOIAS - IPASGO;1077;6.04%
FUNDO MUNICIPAL DE SAUDE DE ITUMBIARA - FMS;406;2.28%
MUNICIPIO DE ANAPOLIS;404;2.27%
MUNICIPIO DE INHUMAS;308;1.73%
MUNICIPIO DE APARECIDA DE GOIANIA;260;1.46%
SECRETARIA MUNICIPAL DE SAUDE;257;1.44%
FUNDO MUNICIPAL DE SAUDE;201;1.13%
Outros (366 itens);3297;18.49%
TOTAL GERAL;17832;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
MUNICIPIO;6044;33.89%
ESTADO OU DISTRITO FEDERAL;5880;32.97%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;3030;16.99%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;1080;6.06%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA MUNICIPAL;689;3.86%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;445;2.50%
ND;381;2.14%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;73;0.41%
AUTARQUIA MUNICIPAL;70;0.39%
ASSOCIACAO PRIVADA;34;0.19%
Outros (10 itens);106;0.59%
TOTAL GERAL;17832;100.00%




=== REGIONAL CO_TJMS_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12416;7274;22.67%
10671;3830;11.94%
12494;3613;11.26%
12503;2274;7.09%
12489;2024;6.31%
12495;1582;4.93%
12500;1523;4.75%
12519;1291;4.02%
12506;1041;3.24%
12487;945;2.95%
Outros (107 itens);6685;20.84%
TOTAL GERAL;32082;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
DEFENSORIA PUBLICA GERAL DO ESTADO DE MATO GROSSO DO SUL;1030;40.36%
ESTADO DE MATO GROSSO DO SUL;592;23.20%
DEFENSORIA PUBLICA ESTADUAL;194;7.60%
MINISTERIO PUBLICO ESTADUAL;151;5.92%
MUNICIPIO DE NAVIRAI;88;3.45%
MUNICIPIO DE PARANAIBA;47;1.84%
MUNICIPIO DE DOURADOS;31;1.21%
MUNICIPIO DE CAMPO GRANDE;29;1.14%
KAIQUE RIBEIRO YAMAKAWA SOCIEDADE INDIVIDUAL DE ADVOCACIA;25;0.98%
MUNICIPIO DE MIRANDA;21;0.82%
Outros (85 itens);344;13.48%
TOTAL GERAL;2552;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;1030;40.36%
ESTADO OU DISTRITO FEDERAL;589;23.08%
MUNICIPIO;425;16.65%
ND;259;10.15%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;147;5.76%
SOCIEDADE UNIPESSOAL DE ADVOGADOS;45;1.76%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;17;0.67%
SOCIEDADE EMPRESARIA LIMITADA;14;0.55%
ASSOCIACAO PRIVADA;12;0.47%
SOCIEDADE SIMPLES PURA;4;0.16%
Outros (6 itens);10;0.39%
TOTAL GERAL;2552;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE MATO GROSSO DO SUL;13127;46.39%
MUNICIPIO DE CAMPO GRANDE;5079;17.95%
MUNICIPIO DE DOURADOS;1058;3.74%
MUNICIPIO DE PARANAIBA;716;2.53%
MUNICIPIO DE NAVIRAI;671;2.37%
MUNICIPIO DE NOVA ANDRADINA;492;1.74%
MUNICIPIO DE CAMPO GRANDE-MS;412;1.46%
MUNICIPIO DE IVINHEMA;392;1.39%
MUNICIPIO DE PONTA PORA;285;1.01%
MUNICIPIO DE ITAQUIRAI;233;0.82%
Outros (187 itens);5832;20.61%
TOTAL GERAL;28297;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
MUNICIPIO;13935;49.25%
ESTADO OU DISTRITO FEDERAL;11655;41.19%
ND;2064;7.29%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;228;0.81%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;62;0.22%
ASSOCIACAO PRIVADA;61;0.22%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;59;0.21%
AUTARQUIA MUNICIPAL;53;0.19%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA MUNICIPAL;48;0.17%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;40;0.14%
Outros (16 itens);92;0.33%
TOTAL GERAL;28297;100.00%




=== REGIONAL CO_TJMT_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12503;3120;14.43%
12501;2391;11.06%
12484;2135;9.87%
12506;2031;9.39%
10671;1257;5.81%
12491;1220;5.64%
12500;931;4.31%
12416;897;4.15%
12483;856;3.96%
14759;753;3.48%
Outros (141 itens);6030;27.89%
TOTAL GERAL;21621;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
PROCURADORIA GERAL DE JUSTICA DO ESTADO DE MATO GROSSO;1673;60.07%
ESTADO DE MATO GROSSO;446;16.01%
DEFENSORIA PUBLICA DO ESTADO DE MATO GROSSO;148;5.31%
MUNICIPIO DE CUIABA;83;2.98%
MUNICIPIO DE RONDONOPOLIS;58;2.08%
MUNICIPIO DE SINOP;45;1.62%
MUNICIPIO DE PEDRA PRETA;41;1.47%
MUNICIPIO DE VARZEA GRANDE;23;0.83%
MUNICIPIO DE SAPEZAL;21;0.75%
MUNICIPIO DE ALTA FLORESTA;16;0.57%
Outros (89 itens);231;8.29%
TOTAL GERAL;2785;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;1673;60.07%
ESTADO OU DISTRITO FEDERAL;446;16.01%
MUNICIPIO;435;15.62%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;149;5.35%
SOCIEDADE EMPRESARIA LIMITADA;21;0.75%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;17;0.61%
SOCIEDADE SIMPLES PURA;8;0.29%
SOCIEDADE ANONIMA FECHADA;8;0.29%
ASSOCIACAO PRIVADA;8;0.29%
ENTIDADE SINDICAL;6;0.22%
Outros (7 itens);14;0.50%
TOTAL GERAL;2785;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE MATO GROSSO;13232;49.27%
MUNICIPIO DE CUIABA;2383;8.87%
SECRETARIA MUNICIPAL DE SAUDE;1188;4.42%
MUNICIPIO DE SINOP;885;3.30%
MUNICIPIO DE RONDONOPOLIS;723;2.69%
FUNDO ESTADUAL DE SAUDE;662;2.46%
MUNICIPIO DE TANGARA DA SERRA;599;2.23%
PROCURADORIA GERAL DE JUSTICA DO ESTADO DE MATO GROSSO;372;1.39%
MUNICIPIO DE SORRISO;354;1.32%
MUNICIPIO DE CACERES;348;1.30%
Outros (192 itens);6110;22.75%
TOTAL GERAL;26856;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;13232;49.27%
MUNICIPIO;11167;41.58%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;1208;4.50%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;662;2.46%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;372;1.39%
SOCIEDADE ANONIMA ABERTA;52;0.19%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;40;0.15%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;21;0.08%
ASSOCIACAO PRIVADA;21;0.08%
CONSORCIO PUBLICO DE DIREITO PUBLICO (ASSOCIACAO PUBLICA);15;0.06%
Outros (12 itens);66;0.25%
TOTAL GERAL;26856;100.00%




=== REGIONAL NE_TJAL_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12489;1901;36.99%
12487;1085;21.11%
12490;515;10.02%
10656;235;4.57%
10263;173;3.37%
12508;161;3.13%
10671;158;3.07%
12503;138;2.69%
12500;96;1.87%
9196;93;1.81%
Outros (58 itens);584;11.36%
TOTAL GERAL;5139;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
DEFENSORIA PUBLICA GERAL DO ESTADO DE ALAGOAS;550;69.97%
ESTADO DE ALAGOAS;98;12.47%
PROCURADORIA GERAL DE JUSTICA DO ESTADO DE ALAGOAS;54;6.87%
MUNICIPIO DE MACEIO;49;6.23%
GABINETE DO VICE GOVERNADOR;5;0.64%
MUNICIPIO DE RIO LARGO;3;0.38%
GABINETE CIVIL;3;0.38%
FUNDO DE MODERNIZACAO DA DEFENSORIA PUBLICA DO ESTADO DE ALAGOAS;2;0.25%
MUNICIPIO DE MATRIZ DE CAMARAGIBE;2;0.25%
MUNICIPIO DE PENEDO;2;0.25%
Outros (17 itens);18;2.29%
TOTAL GERAL;786;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;613;77.99%
ESTADO OU DISTRITO FEDERAL;91;11.58%
MUNICIPIO;59;7.51%
ND;16;2.04%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;2;0.25%
SOCIEDADE EMPRESARIA LIMITADA;2;0.25%
SOCIEDADE SIMPLES LIMITADA;2;0.25%
ASSOCIACAO PRIVADA;1;0.13%
TOTAL GERAL;786;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DE ALAGOAS;1868;38.67%
MUNICIPIO DE MACEIO;1775;36.74%
GABINETE DO VICE GOVERNADOR;604;12.50%
SECRETARIA DE ESTADO DA SAUDE;116;2.40%
SECRETARIA MUNICIPAL DE SAUDE;79;1.64%
DEFENSORIA PUBLICA GERAL DO ESTADO DE ALAGOAS;74;1.53%
GABINETE CIVIL;34;0.70%
SECRETARIA DE ESTADO DA FAZENDA;30;0.62%
INSTITUTO DE ASSISTENCIA A SAUDE DOS SERVIDORES DO ESTADO DE ALAGOAS;18;0.37%
PROCURADORIA GERAL DO ESTADO;16;0.33%
Outros (81 itens);217;4.49%
TOTAL GERAL;4831;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
MUNICIPIO;1918;39.70%
ESTADO OU DISTRITO FEDERAL;1846;38.21%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;916;18.96%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;79;1.64%
ND;33;0.68%
ASSOCIACAO PRIVADA;11;0.23%
SOCIEDADE EMPRESARIA LIMITADA;8;0.17%
AUTARQUIA ESTADUAL OU DO DISTRITO FEDERAL;7;0.14%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;6;0.12%
FUNDO PUBLICO DA ADMINISTRACAO DIRETA ESTADUAL OU DO DISTRITO FEDERAL;4;0.08%
Outros (2 itens);3;0.06%
TOTAL GERAL;4831;100.00%




=== REGIONAL NE_TJBA_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12500;1806;10.46%
12503;1738;10.07%
12494;1510;8.75%
12506;945;5.47%
12489;918;5.32%
10671;892;5.17%
12495;874;5.06%
12487;678;3.93%
12505;634;3.67%
12502;600;3.48%
Outros (192 itens);6666;38.62%
TOTAL GERAL;17261;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
MINISTERIO PUBLICO DO ESTADO DA BAHIA;1450;60.32%
ESTADO DA BAHIA;425;17.68%
DEFENSORIA PUBLICA DO ESTADO DA BAHIA;176;7.32%
MUNICIPIO DE BRUMADO;75;3.12%
MUNICIPIO DE ITABUNA;33;1.37%
MUNICIPIO DE VITORIA DA CONQUISTA;19;0.79%
MUNICIPIO DE TEIXEIRA DE FREITAS;19;0.79%
SUPERINTENDENCIA DE ASSUNTOS PENAIS;15;0.62%
BAHIA TRIBUNAL DE JUSTICA;11;0.46%
MUNICIPIO DE PAULO AFONSO;10;0.42%
Outros (96 itens);171;7.11%
TOTAL GERAL;2404;100.00%

--- Coluna: Polo ativo - Natureza juridica ---
Item;Contagem;Percentual
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1469;61.11%
ESTADO OU DISTRITO FEDERAL;425;17.68%
MUNICIPIO;249;10.36%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;176;7.32%
SOCIEDADE ANONIMA FECHADA;26;1.08%
SOCIEDADE EMPRESARIA LIMITADA;14;0.58%
ORGAO PUBLICO DO PODER JUDICIARIO ESTADUAL;12;0.50%
COOPERATIVA;10;0.42%
ASSOCIACAO PRIVADA;7;0.29%
ND;6;0.25%
Outros (6 itens);10;0.42%
TOTAL GERAL;2404;100.00%

--- Coluna: Polo passivo ---
Item;Contagem;Percentual
ESTADO DA BAHIA;9940;61.49%
MUNICIPIO DE SALVADOR;411;2.54%
BAHIA SECRETARIA DA ADMINISTRACAO;394;2.44%
MUNICIPIO DE BRUMADO;288;1.78%
MUNICIPIO DE FEIRA DE SANTANA;267;1.65%
MUNICIPIO DE JUAZEIRO;243;1.50%
MUNICIPIO DE JEQUIE;231;1.43%
BAHIA SECRETARIA DE SAUDE DO ESTADO;212;1.31%
MUNICIPIO DE TEIXEIRA DE FREITAS;197;1.22%
MINISTERIO PUBLICO DO ESTADO DA BAHIA;188;1.16%
Outros (483 itens);3795;23.48%
TOTAL GERAL;16166;100.00%

--- Coluna: Polo passivo - Natureza juridica ---
Item;Contagem;Percentual
ESTADO OU DISTRITO FEDERAL;9940;61.49%
MUNICIPIO;4326;26.76%
ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL;1206;7.46%
ORGAO PUBLICO AUTONOMO ESTADUAL OU DO DISTRITO FEDERAL;121;0.75%
SOCIEDADE EMPRESARIA LIMITADA;107;0.66%
SOCIEDADE ANONIMA FECHADA;89;0.55%
ND;65;0.40%
ASSOCIACAO PRIVADA;64;0.40%
ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL;63;0.39%
ORGAO PUBLICO DO PODER EXECUTIVO FEDERAL;40;0.25%
Outros (20 itens);145;0.90%
TOTAL GERAL;16166;100.00%




=== REGIONAL NE_TJCE_CN - VS ENTES PÚBLICOS ===

--- Coluna: Codigos assuntos ---
Item;Contagem;Percentual
12485;1700;10.18%
12506;1579;9.46%
12500;1497;8.96%
12499;1424;8.53%
12495;1355;8.11%
12494;1128;6.75%
12503;1125;6.74%
12505;1057;6.33%
12487;953;5.71%
12489;695;4.16%
Outros (115 itens);4187;25.07%
TOTAL GERAL;16700;100.00%

--- Coluna: Polo ativo ---
Item;Contagem;Percentual
DEFENSORIA PUBLICA GERAL DO ESTADO DO CEARA;353;38.41%
IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORT;96;10.45%
ESTADO DO CEARA;61;6.64%
